Student_ID,Gender,Age,Degree,CGPA,Internships_Count,Projects_Count,Certifications_Count,Technical_Skills_Score_100,Communication_Skills_Score_100,Aptitude_Test_Score_100,Placement_Offer,Salary_Offered_USD
61,Male,21,Data Science,3.15,4,7,3,71,58,88,No,11434.14
62,Female,22,Data Science,3.86,1,8,5,51,73,92,No,6412.38
63,Male,27,Arts,3.59,4,7,4,89,93,93,No,12979.82
64,Female,24,Engineering,3.3,3,5,3,77,48,65,Yes,13679.82
65,Male,20,Arts,2.79,1,9,1,89,58,97,Yes,4032.2
66,Male,25,Arts,3.87,2,1,2,76,96,96,No,19590.4
67,Male,25,Computer Science,3.12,1,6,4,85,56,80,No,15807.07
68,Male,25,Computer Science,3.29,4,6,5,87,84,51,Yes,14073.6
69,Female,22,Engineering,2.47,3,7,0,66,57,81,Yes,8551.18
70,Male,28,Arts,3.06,2,7,5,49,76,62,Yes,9230.63
71,Male,25,Computer Science,3.35,0,2,0,66,58,72,Yes,4133.27
72,Female,26,Arts,2.83,2,5,3,94,76,98,Yes,5119.81
73,Female,22,Engineering,2.13,2,6,3,93,66,86,Yes,9350.44
74,Female,18,Computer Science,3.2,0,2,3,89,94,78,No,16101.66
75,Female,25,Computer Science,3.82,2,9,4,94,83,97,Yes,15490.83
76,Male,29,Business,2.73,2,6,3,62,61,77,Yes,6245.6
77,Male,28,Data Science,2.77,4,5,3,74,58,57,No,7816.62
78,Male,28,Arts,3.65,0,8,0,70,47,64,No,4017.84
79,Male,24,Engineering,3.26,1,8,5,88,49,72,Yes,15229.88
80,Female,21,Arts,3.72,2,1,0,79,87,83,Yes,18794.38
81,Female,22,Arts,2.43,2,7,5,63,81,69,Yes,10349.92
82,Male,19,Arts,3.2,4,6,4,68,65,89,No,7510.57
83,Male,19,Engineering,2.83,2,3,4,74,91,79,No,6942.04
84,Male,25,Data Science,3.6,4,1,2,55,97,50,No,16309.23
85,Male,20,Arts,2.96,4,2,3,62,81,94,Yes,14090.42
86,Female,28,Computer Science,2.84,2,1,2,52,48,45,Yes,19768.21
87,Male,28,Business,2.93,2,3,5,65,44,81,Yes,19174.97
88,Female,25,Data Science,3.0,2,6,0,93,46,95,Yes,4242.57
89,Female,26,Data Science,2.23,0,2,2,41,76,49,Yes,6068.55
90,Male,27,Arts,3.84,3,6,4,91,86,42,Yes,5477.61
91,Female,28,Engineering,2.97,3,8,0,47,62,97,Yes,11566.22
92,Female,22,Data Science,3.31,4,3,0,43,87,85,Yes,9836.7
93,Female,22,Business,2.18,0,3,1,48,97,67,No,16417.56
94,Male,22,Business,2.49,0,1,0,42,88,79,Yes,6370.28
95,Female,25,Engineering,2.41,1,3,2,91,77,85,Yes,4715.62
96,Female,25,Arts,2.18,1,7,1,70,91,74,Yes,13715.9
97,Female,27,Business,3.8,3,9,0,49,67,41,No,6032.32
98,Male,29,Computer Science,2.67,0,8,2,88,74,56,Yes,16761.52
99,Male,27,Business,2.54,2,3,3,42,71,43,No,7492.94
100,Male,22,Data Science,2.27,4,5,4,93,91,80,Yes,9615.08
101,Female,19,Arts,3.66,1,1,3,45,49,91,Yes,8872.02
102,Male,23,Data Science,2.49,2,1,1,79,53,98,Yes,19113.47
103,Male,23,Business,2.41,4,9,5,62,40,98,Yes,7406.91
104,Female,26,Engineering,2.04,0,7,2,90,86,74,Yes,10152.54
105,Female,27,Data Science,3.6,1,4,0,74,95,87,Yes,9967.56
106,Female,23,Data Science,2.44,1,4,1,94,92,50,Yes,17465.58
107,Male,19,Engineering,3.09,3,3,4,45,89,92,Yes,16886.8
108,Female,18,Computer Science,3.32,1,5,2,84,50,74,Yes,17504.66
109,Female,24,Business,2.19,0,8,2,51,43,45,Yes,13610.98
110,Male,18,Engineering,2.67,3,3,5,70,76,42,No,7284.23
111,Male,27,Engineering,3.74,4,6,4,75,99,80,Yes,6350.75
112,Female,22,Arts,2.7,1,4,4,52,45,90,Yes,5018.84
113,Female,24,Data Science,3.0,3,3,5,52,67,50,Yes,12715.86
114,Male,28,Business,3.55,0,1,3,65,56,59,Yes,9576.45
115,Female,22,Engineering,3.97,0,8,0,41,60,88,Yes,3936.27
116,Female,23,Business,2.56,2,7,0,90,81,45,Yes,15106.1
117,Female,21,Data Science,2.2,3,7,1,84,88,52,Yes,10869.07
118,Female,22,Data Science,2.58,4,8,0,90,89,40,No,3998.84
119,Female,24,Business,3.0,0,9,5,61,45,64,Yes,10523.08
120,Female,29,Computer Science,3.82,0,3,2,48,60,57,No,19101.28
121,Female,29,Computer Science,2.04,2,2,0,67,61,87,Yes,6025.67
122,Male,20,Arts,2.65,3,4,0,87,49,96,Yes,13859.47
123,Female,23,Business,3.16,4,4,0,80,80,59,No,10265.13
124,Female,20,Data Science,3.12,1,8,1,49,43,70,No,8597.35
125,Female,22,Arts,3.52,2,8,2,89,56,68,No,5561.26
126,Female,21,Engineering,2.03,0,7,4,61,94,99,No,9444.62
127,Male,20,Data Science,3.49,1,5,4,57,59,45,No,3450.99
128,Male,28,Arts,2.82,3,1,2,99,54,42,Yes,9327.97
129,Male,22,Business,3.63,2,6,3,57,65,64,No,12612.41
130,Female,26,Engineering,3.22,4,1,0,67,76,96,Yes,8661.42
131,Female,18,Business,2.01,0,2,3,68,94,77,Yes,5597.94
132,Male,24,Business,2.49,0,6,0,96,61,65,Yes,10340.75
133,Male,26,Data Science,3.14,4,1,3,66,78,45,Yes,9075.13
134,Female,28,Computer Science,2.27,0,6,2,50,46,56,No,19718.52
135,Female,26,Engineering,3.38,1,9,1,89,96,71,No,12583.56
136,Male,23,Data Science,2.63,3,6,1,43,80,70,No,10777.55
137,Male,24,Computer Science,2.43,0,1,4,76,55,91,Yes,19320.2
138,Male,23,Business,3.88,2,9,3,83,81,55,No,16325.59
139,Female,24,Engineering,2.44,1,7,4,66,62,42,No,8995.06
140,Male,18,Computer Science,2.36,2,5,0,79,42,91,No,10922.09
141,Female,22,Data Science,2.93,3,7,4,42,94,99,Yes,11773.06
142,Female,27,Engineering,2.59,3,6,3,66,44,41,Yes,6517.14
143,Male,18,Arts,2.78,0,8,3,62,48,49,Yes,5252.2
144,Male,29,Computer Science,3.69,0,8,3,89,54,91,No,5627.05
145,Female,26,Arts,3.94,0,8,0,92,65,89,No,9188.48
146,Male,18,Data Science,2.33,1,6,4,41,53,50,Yes,4574.62
147,Female,23,Arts,2.99,2,2,4,82,81,50,Yes,6352.47
148,Female,24,Computer Science,3.32,4,1,5,42,89,76,Yes,4744.25
149,Female,24,Data Science,2.03,1,6,4,79,98,47,Yes,3267.68
150,Female,26,Data Science,3.47,4,2,4,96,72,43,Yes,9686.81
151,Male,26,Arts,2.84,4,7,5,69,65,73,No,10569.97
152,Female,22,Engineering,3.29,4,2,4,52,42,44,No,15689.16
153,Male,22,Engineering,3.27,0,7,2,47,59,58,Yes,12639.54
154,Female,18,Computer Science,2.15,4,1,2,58,58,53,No,17586.25
155,Male,19,Computer Science,3.53,2,6,4,84,78,87,Yes,14663.83
156,Male,27,Engineering,2.47,0,8,3,90,88,46,Yes,16902.41
157,Female,18,Engineering,3.7,2,4,1,64,97,54,No,12617.74
158,Female,25,Engineering,3.42,3,2,1,47,44,97,Yes,12000.69
159,Male,29,Computer Science,3.53,2,9,2,84,70,89,No,19440.1
160,Female,23,Business,3.83,4,6,0,75,96,61,No,10023.02
161,Female,22,Computer Science,2.6,3,2,0,84,59,55,No,11923.96
162,Female,25,Engineering,2.22,4,5,5,68,84,71,No,14884.08
163,Male,20,Business,2.2,1,7,2,72,76,71,Yes,11264.09
164,Female,21,Data Science,2.23,4,3,3,65,83,98,Yes,10111.08
165,Female,23,Computer Science,2.79,3,1,0,83,60,77,No,14350.96
166,Female,23,Computer Science,3.59,4,5,5,98,91,71,No,3817.74
167,Female,22,Engineering,3.28,3,5,3,61,56,47,Yes,17599.46
168,Male,20,Business,3.78,1,7,4,44,48,96,Yes,19614.81
169,Male,24,Arts,3.39,4,6,2,74,58,76,Yes,13428.09
170,Female,27,Arts,3.53,3,1,1,40,92,82,Yes,10963.98
171,Female,25,Business,3.43,3,1,5,88,75,98,Yes,10705.28
172,Male,27,Arts,3.47,3,7,2,75,84,71,Yes,12565.36
173,Male,22,Data Science,3.12,3,2,4,66,84,98,Yes,15406.2
174,Female,28,Data Science,3.91,4,9,0,88,95,95,Yes,8085.75
175,Male,27,Computer Science,2.6,0,9,4,60,57,69,Yes,8386.4
176,Male,24,Arts,3.34,2,4,4,50,70,77,No,5339.24
177,Male,23,Engineering,2.46,3,3,3,41,55,76,Yes,15367.21
178,Female,25,Computer Science,2.8,0,8,3,99,56,42,Yes,9335.94
179,Male,21,Business,2.11,4,4,1,41,64,91,Yes,17215.66
180,Female,27,Data Science,2.64,1,3,0,50,63,89,Yes,11171.96
181,Female,28,Engineering,2.09,3,3,5,48,88,65,No,4936.67
182,Male,19,Engineering,2.14,0,3,5,41,55,89,Yes,19998.13
183,Male,21,Business,2.92,0,1,1,75,81,79,No,16897.92
184,Male,27,Computer Science,2.7,1,5,1,94,65,67,Yes,7584.37
185,Female,21,Computer Science,2.46,0,2,3,43,72,71,Yes,4376.88
186,Male,26,Computer Science,2.63,0,7,5,54,77,81,Yes,3546.99
187,Male,21,Business,3.88,2,4,1,57,92,44,Yes,16379.95
188,Female,23,Business,3.45,4,2,1,66,63,46,Yes,4815.21
189,Male,29,Arts,3.54,1,8,5,95,42,53,No,7365.7
190,Male,24,Computer Science,2.77,3,8,3,96,63,97,Yes,4671.73
191,Female,25,Computer Science,3.31,2,1,4,69,69,52,Yes,19344.79
192,Male,24,Computer Science,3.3,3,5,4,82,47,55,No,8637.88
193,Male,23,Data Science,2.88,2,2,3,47,57,68,No,7012.24
194,Female,25,Data Science,3.37,0,9,2,94,44,55,Yes,15192.32
195,Male,19,Computer Science,2.63,1,2,4,58,90,53,Yes,14047.72
196,Male,19,Computer Science,2.99,2,7,0,59,92,79,Yes,8830.01
197,Male,24,Computer Science,2.93,0,2,3,89,86,66,Yes,12515.83
198,Male,24,Engineering,3.89,2,2,2,83,97,63,Yes,13654.84
199,Female,22,Engineering,3.98,4,1,1,70,49,65,Yes,10037.77
200,Male,27,Computer Science,2.02,1,1,1,68,45,56,Yes,16647.72
201,Female,18,Business,3.26,4,9,5,57,87,63,Yes,15747.13
202,Female,28,Computer Science,2.89,3,2,3,81,48,51,Yes,17529.79
203,Male,27,Arts,2.01,4,3,5,60,45,50,Yes,4601.78
204,Male,21,Engineering,3.21,0,9,1,72,69,68,Yes,12919.82
205,Male,26,Data Science,2.66,3,6,3,49,84,97,No,15395.62
206,Female,23,Data Science,3.4,3,6,5,52,75,64,No,3290.98
207,Male,21,Business,3.32,3,9,0,53,54,43,No,13325.57
208,Male,21,Computer Science,2.46,1,7,1,56,49,47,Yes,9122.3
209,Male,26,Computer Science,2.28,3,3,5,93,56,47,No,18026.56
210,Female,25,Arts,2.51,4,9,0,57,84,68,No,17096.87
211,Male,18,Data Science,2.26,3,4,3,72,46,83,Yes,7280.02
212,Male,19,Engineering,3.17,1,3,5,51,59,86,Yes,16505.1
213,Male,25,Engineering,3.24,2,9,5,94,60,94,No,5315.12
214,Female,20,Engineering,2.08,1,3,1,73,48,83,Yes,16287.19
215,Male,21,Arts,3.38,1,1,4,48,49,80,No,14659.65
216,Female,23,Arts,3.74,4,3,3,97,42,64,Yes,17044.03
217,Female,29,Computer Science,3.94,2,3,0,70,67,49,No,11888.63
218,Female,23,Arts,2.53,0,5,5,71,84,61,No,16125.2
219,Female,18,Engineering,3.51,3,9,1,95,49,43,No,15426.84
220,Male,20,Computer Science,3.05,3,7,5,41,75,68,Yes,3981.65
221,Female,23,Arts,2.51,4,3,4,96,46,85,Yes,11754.41
222,Female,29,Business,2.08,0,3,2,46,67,77,Yes,12532.96
223,Female,26,Engineering,2.59,2,4,3,91,77,69,No,18350.6
224,Female,27,Business,2.78,1,7,3,82,44,99,Yes,12350.97
225,Male,25,Data Science,3.89,3,4,3,41,78,75,Yes,18304.15
226,Male,27,Business,2.58,2,9,1,68,60,83,Yes,7068.0
227,Female,25,Engineering,3.99,4,3,3,57,99,65,Yes,10350.95
228,Female,22,Arts,3.83,1,7,4,64,86,90,No,11952.36
229,Female,23,Engineering,2.8,4,9,5,97,44,61,Yes,8940.65
230,Female,19,Computer Science,2.37,1,5,4,78,77,96,No,8780.2
231,Female,26,Computer Science,3.5,1,4,5,69,92,83,Yes,5737.33
232,Male,24,Data Science,3.52,3,2,3,85,82,45,Yes,5931.03
233,Male,26,Data Science,2.4,4,5,3,92,73,73,No,17461.67
234,Female,22,Engineering,2.58,2,3,2,99,58,88,Yes,15549.39
235,Female,20,Business,3.65,2,3,1,65,99,95,No,10487.33
236,Female,25,Business,3.38,3,7,5,99,96,53,Yes,16205.76
237,Male,19,Business,2.99,0,6,0,98,83,99,Yes,5546.35
238,Female,24,Business,2.36,1,3,3,56,66,82,Yes,6561.62
239,Male,20,Arts,3.93,1,9,0,46,68,61,No,13010.97
240,Male,24,Data Science,3.53,2,7,5,70,96,54,Yes,4774.76
241,Male,23,Business,2.14,2,8,0,50,98,85,Yes,14389.17
242,Female,28,Computer Science,2.84,0,4,5,72,65,88,Yes,8450.81
243,Female,24,Computer Science,2.22,4,7,3,54,73,94,Yes,18211.9
244,Female,18,Engineering,3.55,0,9,0,87,65,74,Yes,13687.32
245,Male,21,Engineering,3.48,4,8,4,58,44,94,No,10508.09
246,Female,29,Data Science,3.62,4,7,5,73,67,42,No,12209.29
247,Male,20,Computer Science,2.17,3,5,5,83,95,55,Yes,6873.59
248,Male,29,Business,2.25,3,8,2,87,95,86,Yes,3582.03
249,Female,20,Arts,2.75,4,8,1,89,45,69,Yes,3945.82
250,Female,27,Engineering,2.8,4,4,2,73,78,81,Yes,9816.88
251,Female,28,Arts,3.51,4,9,4,55,55,90,No,17411.26
252,Male,25,Engineering,3.29,0,1,2,67,49,79,Yes,14750.35
253,Female,23,Arts,3.43,3,9,0,69,50,55,No,13938.57
254,Female,23,Arts,3.53,0,1,5,80,69,56,Yes,19198.46
255,Male,18,Engineering,3.53,3,5,0,78,67,74,Yes,18196.29
256,Male,18,Engineering,2.25,1,6,0,40,57,82,Yes,10289.33
257,Male,29,Data Science,3.02,1,5,2,60,58,99,No,15633.06
258,Female,27,Business,3.22,2,4,2,41,57,41,No,11571.19
259,Male,21,Business,2.71,3,5,0,81,74,52,Yes,14829.12
260,Female,25,Arts,3.22,3,7,4,94,94,48,Yes,10575.11
261,Female,19,Data Science,2.46,4,2,5,82,61,41,Yes,12829.69
262,Male,28,Engineering,3.84,2,7,3,95,93,96,No,5767.23
263,Male,26,Engineering,3.1,1,9,1,81,87,91,Yes,15645.81
264,Female,20,Arts,3.97,1,7,4,51,73,49,Yes,3823.09
265,Female,23,Data Science,3.76,0,4,0,80,60,99,Yes,4046.56
266,Female,18,Arts,2.65,1,8,4,52,78,52,Yes,12353.81
267,Female,19,Business,2.08,0,8,4,92,86,73,Yes,13952.75
268,Female,18,Engineering,3.93,0,9,5,77,82,55,No,7934.58
269,Male,25,Data Science,2.84,0,6,5,96,78,61,Yes,18263.62
270,Female,25,Engineering,3.85,1,1,2,84,79,81,Yes,11506.91
271,Female,23,Arts,3.63,3,9,3,53,82,59,Yes,5180.27
272,Female,29,Data Science,3.26,4,9,3,49,77,70,Yes,18224.8
273,Male,26,Business,2.68,4,1,1,78,69,56,Yes,12712.09
274,Female,19,Data Science,3.55,0,9,5,70,95,53,Yes,14695.14
275,Female,23,Arts,3.05,3,1,2,53,96,99,Yes,9122.06
276,Male,24,Engineering,3.18,2,2,3,91,50,96,Yes,17552.26
277,Male,25,Arts,2.86,1,6,3,94,51,51,No,13573.23
278,Male,18,Data Science,2.06,1,7,1,41,96,92,Yes,13434.25
279,Female,24,Data Science,2.66,4,7,1,81,87,82,No,8751.44
280,Female,22,Arts,2.52,0,6,4,88,51,91,Yes,18736.31
281,Male,19,Business,2.4,3,8,3,90,84,78,No,19472.73
282,Male,22,Business,3.1,3,8,2,76,65,93,Yes,14276.08
283,Female,20,Computer Science,2.35,1,1,4,50,61,73,Yes,3396.99
284,Male,20,Computer Science,2.43,3,9,0,76,71,59,Yes,16710.16
285,Male,19,Engineering,2.47,3,4,4,71,81,90,Yes,11403.67
286,Male,18,Engineering,2.95,1,4,5,59,67,50,Yes,19546.81
287,Female,27,Engineering,3.94,3,9,3,95,65,69,No,7342.27
288,Male,29,Engineering,3.02,3,2,1,51,68,70,Yes,4351.22
289,Female,19,Computer Science,2.65,4,6,2,46,79,44,Yes,17328.7
290,Female,19,Business,3.07,1,2,1,45,79,64,Yes,11528.02
291,Female,29,Engineering,3.25,0,9,0,85,90,51,Yes,9075.9
292,Male,24,Computer Science,3.24,0,3,0,93,67,62,Yes,10337.61
293,Female,24,Business,3.44,4,6,0,77,50,87,Yes,19026.07
294,Female,21,Business,2.92,1,3,2,75,63,88,No,3747.88
295,Female,27,Business,3.97,4,5,5,46,87,68,No,12202.19
296,Male,24,Computer Science,2.37,0,3,3,71,92,61,Yes,6828.03
297,Male,25,Computer Science,2.08,1,8,3,82,45,96,No,17240.3
298,Male,25,Arts,2.73,1,4,3,72,96,58,Yes,12872.61
299,Male,29,Arts,2.95,4,3,0,89,81,47,No,11384.07
300,Female,24,Computer Science,2.24,1,8,1,75,74,83,No,13297.52
301,Male,19,Engineering,2.82,1,7,1,67,71,77,Yes,8685.08
302,Female,27,Business,2.01,3,1,4,94,95,67,Yes,16681.56
303,Female,21,Arts,2.12,0,3,1,53,78,99,No,13044.16
304,Female,25,Arts,2.59,2,3,0,43,64,54,Yes,17434.9
305,Female,20,Business,3.69,4,4,4,89,47,99,Yes,13046.97
306,Male,21,Arts,3.68,3,1,4,51,41,79,Yes,5910.55
307,Female,26,Data Science,3.26,1,9,4,57,41,89,No,16050.61
308,Female,28,Data Science,2.6,2,2,1,90,68,99,Yes,17630.85
309,Female,18,Arts,2.97,1,7,3,49,57,66,No,16250.95
310,Female,21,Engineering,3.86,2,2,5,51,98,73,Yes,10627.29
311,Female,21,Data Science,2.16,4,8,2,83,94,83,Yes,14313.26
312,Female,27,Engineering,2.51,4,3,3,41,91,87,No,16142.84
313,Male,26,Computer Science,2.11,1,6,1,75,70,72,Yes,7946.94
314,Male,29,Business,2.3,0,8,3,49,80,84,Yes,5161.29
315,Female,29,Arts,2.32,1,5,1,83,81,88,Yes,19300.62
316,Male,24,Data Science,2.67,2,7,0,69,95,41,Yes,18901.46
317,Male,21,Engineering,3.41,3,9,4,99,43,43,Yes,14599.95
318,Female,25,Arts,2.58,0,5,2,56,81,80,No,12998.74
319,Male,23,Computer Science,3.15,2,7,3,61,50,82,Yes,19378.52
320,Female,26,Computer Science,3.33,0,8,5,76,80,55,No,16222.2
321,Female,29,Data Science,3.15,0,4,3,96,52,74,Yes,10426.97
322,Female,22,Arts,2.06,4,8,3,51,90,66,No,17853.06
323,Female,29,Arts,2.76,0,8,4,72,64,50,Yes,17186.68
324,Female,28,Arts,2.21,4,1,2,71,70,58,Yes,12257.41
325,Female,26,Computer Science,2.46,3,7,3,55,41,56,Yes,8972.11
326,Male,23,Computer Science,3.34,0,6,5,62,41,86,Yes,9163.55
327,Female,19,Business,3.21,3,9,0,65,53,58,Yes,12367.01
328,Female,25,Computer Science,2.48,1,8,2,54,44,50,Yes,17833.3
329,Female,20,Computer Science,2.56,0,4,5,70,99,58,Yes,10203.55
330,Male,25,Business,2.37,0,2,0,76,50,95,Yes,4842.45
331,Male,26,Arts,2.81,2,3,3,49,78,89,Yes,8528.59
332,Male,19,Computer Science,2.29,1,7,0,99,54,51,No,3173.08
333,Female,29,Business,3.69,0,9,3,88,83,72,Yes,17924.85
334,Female,29,Arts,2.37,1,3,4,60,88,81,No,7200.08
335,Male,25,Engineering,2.27,1,7,2,78,70,72,Yes,19297.84
336,Female,19,Business,2.47,4,1,4,94,94,56,Yes,9443.42
337,Male,26,Business,2.73,0,3,1,75,71,61,No,12056.65
338,Male,19,Arts,3.63,2,2,4,63,51,85,No,15930.9
339,Female,27,Data Science,3.83,3,6,1,46,41,73,Yes,3689.25
340,Male,20,Engineering,3.11,0,9,5,63,71,51,No,9985.59
341,Female,29,Computer Science,3.59,4,3,1,59,62,87,Yes,9819.29
342,Female,21,Data Science,3.39,1,8,0,83,97,99,Yes,3650.57
343,Male,22,Arts,2.11,0,9,5,44,90,71,Yes,14909.09
344,Male,20,Arts,3.47,2,8,5,44,60,44,Yes,15904.27
345,Male,29,Arts,3.73,3,9,4,92,40,54,Yes,13108.46
346,Male,28,Data Science,3.27,4,9,5,89,83,87,Yes,10240.59
347,Female,18,Arts,2.32,0,3,2,55,71,44,No,6325.37
348,Female,28,Engineering,3.98,0,9,1,88,93,47,No,6297.37
349,Female,29,Data Science,3.62,0,1,2,59,74,82,No,14406.25
350,Female,25,Engineering,2.84,0,4,0,63,79,83,Yes,11265.38
351,Female,23,Engineering,3.57,1,1,3,83,72,98,Yes,14081.64
352,Male,27,Arts,3.06,0,2,1,43,68,40,No,18606.52
353,Female,26,Engineering,3.48,1,4,5,44,92,82,Yes,13826.71
354,Male,23,Data Science,3.49,4,8,3,48,49,51,Yes,4107.41
355,Female,18,Arts,3.51,4,6,0,88,70,56,Yes,14353.63
356,Female,29,Computer Science,2.05,0,4,4,94,74,97,No,3340.1
357,Female,23,Business,2.02,1,4,2,58,61,84,Yes,19210.11
358,Male,28,Computer Science,3.97,1,6,1,74,92,40,Yes,7490.06
359,Male,23,Data Science,3.48,1,1,5,98,64,54,No,12183.67
360,Female,19,Arts,3.65,4,5,5,83,61,41,No,13284.13
361,Male,21,Data Science,2.26,4,4,1,47,60,61,No,6682.34
362,Male,26,Arts,2.64,3,8,4,67,81,66,Yes,5284.59
363,Female,18,Business,3.98,4,9,3,63,48,57,No,16699.62
364,Male,26,Engineering,2.07,2,2,3,72,59,79,Yes,14771.45
365,Male,18,Engineering,3.39,0,2,2,59,44,90,Yes,13400.44
366,Male,18,Engineering,2.33,0,8,2,66,49,58,No,5927.12
367,Male,28,Business,2.75,4,6,3,60,67,88,Yes,15847.05
368,Male,27,Data Science,3.85,1,8,0,64,84,63,Yes,13993.18
369,Female,20,Computer Science,2.98,0,1,1,78,93,46,Yes,12885.79
370,Female,23,Computer Science,3.51,4,3,1,51,52,60,No,10776.57
371,Male,19,Computer Science,2.14,3,7,4,96,47,86,Yes,5793.04
372,Female,20,Business,2.75,2,7,4,80,79,70,Yes,6218.79
373,Male,21,Data Science,2.03,2,5,0,66,84,67,Yes,17079.16
374,Male,18,Data Science,3.76,3,9,1,49,58,94,Yes,6753.95
375,Male,24,Data Science,3.48,4,2,4,40,98,50,Yes,18448.07
376,Female,25,Computer Science,2.26,0,1,4,91,62,74,Yes,5593.92
377,Female,21,Computer Science,2.88,4,3,0,86,55,90,No,14346.16
378,Male,27,Computer Science,2.24,4,7,1,57,41,85,No,9981.8
379,Female,25,Computer Science,3.16,2,8,0,43,62,58,Yes,13620.79
380,Male,27,Business,3.8,3,8,1,91,50,66,Yes,3754.06
381,Female,22,Computer Science,3.94,2,2,1,58,45,88,Yes,9048.83
382,Male,26,Data Science,2.94,1,6,4,84,69,50,No,6239.91
383,Female,18,Data Science,3.66,2,5,5,55,44,83,Yes,4987.98
